nom_affiche;telephone;email;adresse;code_postal;ville;categorie;remarque
Mairie de Mézens;05 63 40 10 66;mairie.mezenf@wanadoo.fr;Grand'rue;81800;Mézens;public;email a verifier (mezenf -> mezens ?)
Mairie de Saint-Juéry;05 63 76 07 00;mairie@ville-saint-juery.fr;Place de la mairie;81160;Saint-Juéry;public;
Mairie d'Aiguefonde;05 63 61 22 59;mairie.aiguefonde@wanadoo.fr;20 Avenue de la mairie;81200;Aiguefonde;public;
Mairie de Carmaux (service technique);05 63 80 11 06;servicetechnique@carmaux.fr;124 Avenue Roucan;81400;Carmaux;public;2 contacts Carmaux (technique + accueil)
Mairie de Saint-Sulpice-la-Pointe;05 63 41 93 34;intervention.technique@ville-saint-sulpice-81.fr;Rue Capit Beaumont;81370;Saint-Sulpice-la-Pointe;public;
Mairie de Lacaune;05 63 37 00 18;mairie@lacaune.com;1 Rue de la mairie;81230;Lacaune;public;
Mairie de Labruguière;05 63 73 30 32;accueil-technique@labruguiere.fr;Place Hôtel de ville;81290;Labruguière;public;
Mairie de Cordes-sur-Ciel;05 63 56 04 59;mairie@cordesurciel.fr;Les Tuileries;81170;Cordes-sur-Ciel;public;meme email que l'autre Cordes (fusionner ?)
Mairie de Castres (service technique);05 63 71 57 11;N.hallett@ville-castres.fr;3 Allée Maréchal Juin;81100;Castres;public;2 contacts Castres (technique + accueil)
Mairie de Réalmont;05 63 79 25 80;mairie-réalmont@wanadoo.fr;3 Rue Hôtel de ville;81120;Réalmont;public;accent dans l'email a verifier
Mairie de Gaillac;05 63 81 20 36;secretariats@ville-gaillac.fr;70 Place d'Hautpoul;81600;Gaillac;public;
Mairie de Murat-sur-Vèbre;05 63 37 24 86;mairie.murat81@orange.fr;Peyroux Murat;81320;Murat-sur-Vèbre;public;
Mairie d'Aussillon;05 63 98 99 41;m.arnaud@ville-aussillon.fr;19 Rue École;81200;Aussillon;public;2e contact Aussillon (meme email)
Mairie de Puygouzon;05 63 43 27 43;mairie@puygouzon.fr;La Cayrie;81990;Puygouzon;public;
Mairie de Castres (accueil);05 63 71 58 58;mairie@ville-castres.fr;1 Rue de l'Hôtel de ville;81100;Castres;public;2 contacts Castres (technique + accueil)
Mairie de Rabastens;05 63 33 64 05;mairie.rabastens@wanadoo.fr;3 Quai Escoucières;81800;Rabastens;public;
Mairie de Carmaux (accueil);05 63 80 22 50;contact@carmaux.fr;7 Place Libération;81400;Carmaux;public;2 contacts Carmaux (technique + accueil)
Mairie de Blaye-les-Mines;05 63 76 54 27;contact@mairie-blaye.fr;145 Bis Avenue d'Albi;81400;Blaye-les-Mines;public;
Mairie de Vielmur-sur-Agout;05 63 74 30 11;vielmur.mairie@wanadoo.fr;Place Esplanade;81570;Vielmur-sur-Agout;public;
Mairie de Cadalen;05 63 81 53 97;cadalen.mairie@orange.fr;Le Bourg;81600;Cadalen;public;
Mairie du Séquestre;05 63 54 40 13;mairie@lesequestre.fr;Place Jules Ferry;81990;Le Séquestre;public;
